"id","name","french_name","norm_name","norm_french_name","country_code","postal_code","zone1","zone2","lat","lng","note","url_unique"
"43196","El Cañarico",,"el-canarico",,"ES","04149","0","0","37.04031","-1.96420","0","-1"
"43197","El Cantal",,"el-cantal",,"ES","04825","0","0","37.55802","-2.21036","0","-1"
"43198","El Carmen",,"el-carmen",,"ES","04230","0","0","36.90411","-2.44682","0","-1"
"43199","El Cercado",,"el-cercado",,"ES","04859","0","0","37.68616","-2.05160","0","-1"
"43200","El Cerrogordo",,"el-cerrogordo",,"ES","04810","0","0","37.46134","-2.26551","0","-1"
"43201","El Charche",,"el-charche",,"ES","04829","0","0","37.63426","-2.03399","0","-1"
"43202","El Chive",,"el-chive",,"ES","04271","0","0","37.17726","-2.07344","0","-1"
"43203","El Chopo",,"el-chopo",,"ES","04660","0","0","37.28473","-2.14032","0","-1"
"43204","El Chuche",,"el-chuche",,"ES","04410","0","0","36.91226","-2.45080","0","-1"
"43205","El Cid",,"el-cid",,"ES","04760","0","0","36.88449","-2.97188","0","-1"
"43206","El Cocón",,"el-cocon",,"ES","04648","0","0","37.40197","-1.66735","0","-1"
"43207","El Congo",,"el-congo",,"ES","04738","0","0","36.76531","-2.75967","0","-1"
"43208","El Contador",,"el-contador",,"ES","04825","0","0","37.58971","-2.36280","0","-1"
"43209","El Convoy",,"el-convoy",,"ES","04647","0","0","37.39630","-1.76128","0","-1"
"43210","El Corral",,"el-corral",,"ES","04770","0","0","36.80008","-3.08068","0","-1"
"43211","El Cortijo Alto",,"el-cortijo-alto",,"ES","04550","0","0","37.07275","-2.54697","0","-1"
"43212","El Cortijo Grande",,"el-cortijo-grande",,"ES","04639","0","0","37.12321","-1.93464","0","-1"
"43213","El Cucador",,"el-cucador",,"ES","04661","0","0","37.35697","-2.02653","0","-1"
"43214","El Cumbrero",,"el-cumbrero",,"ES","04149","0","0","37.02051","-1.92404","0","-1"
"43215","El Ejido",,"el-ejido",,"ES","04700","0","0","36.72857","-2.75807","0","-1"
"43216","El Espadin",,"el-espadin",,"ES","04829","0","0","37.64510","-2.05167","0","-1"
"43217","El Fonte",,"el-fonte",,"ES","04271","0","0","37.16057","-2.12678","0","-1"
"43218","El Gor",,"el-gor",,"ES","04693","0","0","37.46854","-1.96346","0","-1"
"43219","El Haza del Riego",,"el-haza-del-riego",,"ES","04532","0","0","37.21995","-2.74344","0","-1"
"43220","El Hijate",,"el-hijate",,"ES","04898","0","0","37.39679","-2.59270","0","-1"
"43221","El Largo",,"el-largo",,"ES","04619","0","0","37.33606","-1.76739","0","-1"
"43222","El Llano de Don Antonio",,"el-llano-de-don-antonio",,"ES","04149","0","0","37.00059","-1.93481","0","-1"
"43223","El Llano de las Animas",,"el-llano-de-las-animas",,"ES","04812","0","0","37.43425","-2.17282","0","-1"
"43224","El Mamí",,"el-mami",,"ES","04120","0","0","36.85405","-2.42303","0","-1"
"43225","El Marchal",,"el-marchal",,"ES","04271","0","0","37.21378","-2.02581","0","-1"
"43226","El Margen",,"el-margen",,"ES","04811","0","0","37.52324","-2.23372","0","-1"
"43227","El Martinete",,"el-martinete",,"ES","04618","0","0","37.28764","-1.87853","0","-1"
"43228","El Mayordomo",,"el-mayordomo",,"ES","04279","0","0","37.12135","-2.12223","0","-1"
"43229","El Mojonar",,"el-mojonar",,"ES","04825","0","0","37.64777","-2.21708","0","-1"
"43230","El Molino",,"el-molino",,"ES","04640","0","0","37.42155","-1.73039","0","-1"
"43231","El Molino del Tarahal",,"el-molino-del-tarahal",,"ES","04610","0","0","37.38062","-1.77395","0","-1"
"43232","El Morro",,"el-morro",,"ES","04618","0","0","37.28960","-1.88250","0","-1"
"43233","El Olivar",,"el-olivar",,"ES","04869","0","0","37.34840","-2.01091","0","-1"
"43234","El Palacés",,"el-palaces",,"ES","04662","0","0","37.34840","-2.01091","0","-1"
"43235","El Palomar",,"el-palomar",,"ES","04869","0","0","37.37165","-2.27289","0","-1"
"43236","El Parador",,"el-parador",,"ES","04721","0","0","36.81165","-2.60141","0","-1"
"43237","El Parador de las Hortichuelas",,"el-parador-de-las-hortichuelas",,"ES","04720","0","0","36.80957","-2.60026","0","-1"
"43238","El Patio",,"el-patio",,"ES","04770","0","0","36.77100","-3.11936","0","-1"
"43239","El Peñon Alto",,"el-penon-alto",,"ES","04811","0","0","37.50547","-2.26333","0","-1"
"43240","El Peñon Bajo",,"el-penon-bajo",,"ES","04811","0","0","37.46525","-2.21235","0","-1"
"43241","El Piar de Abajo",,"el-piar-de-abajo",,"ES","04829","0","0","37.67150","-2.02215","0","-1"
"43242","El Pilar",,"el-pilar",,"ES","04270","0","0","37.18963","-2.10121","0","-1"
"43243","El Pilarico",,"el-pilarico",,"ES","04279","0","0","37.19861","-2.19175","0","-1"
"43244","El Pinar",,"el-pinar",,"ES","04288","0","0","37.43398","-2.47064","0","-1"
"43245","El Pocico",,"el-pocico",,"ES","04271","0","0","37.24021","-2.04105","0","-1"
"43246","El Prado",,"el-prado",,"ES","04660","0","0","37.37932","-2.31170","0","-1"
"43247","El Puente del Río",,"el-puente-del-rio",,"ES","04779","0","0","36.75800","-2.98708","0","-1"
"43248","El Puertecico",,"el-puertecico",,"ES","04693","0","0","37.51460","-1.98438","0","-1"
